sim_time,event,value,soc
379.400019787,run_started,3,0.999670
394.000020548,tag,1,0.939510
406.733354546,waypoint,1,0.891305
417.466688439,tag,2,0.845035
430.866689138,waypoint,2,0.794053
442.833356428,tag,3,0.741162
454.716690381,waypoint,3,0.696668
465.633357618,recovery_enter,ClearGlobalCostmap-Context,0.649014
465.633357618,recovery_exit,ClearGlobalCostmap-Context,0.649014
465.666690953,recovery_enter,ClearLocalCostmap-Context,0.649014
465.666690953,recovery_exit,ClearLocalCostmap-Context,0.649014
465.700024288,recovery_enter,Spin,0.648561
466.916691018,recovery_exit,Spin,0.643951
466.916691018,recovery_enter,Wait,0.643951
471.950024614,recovery_exit,Wait,0.627310
475.466691464,tag,4,0.611345
488.350025469,waypoint,4,0.562837
500.366692762,tag,5,0.509724
511.900026697,waypoint,5,0.466294
550.916695399,tag,0,0.296574
564.733362786,waypoint,0,0.243922
564.733362786,run_ended,3,0.243922
