sim_time,event,value,soc
2646.100138004,run_started,15,0.999608
2674.933472841,waypoint,1,0.862905
2698.800140753,waypoint,2,0.748344
2722.466808654,waypoint,3,0.634165
2733.083475874,recovery,enter,0.579282
2733.083475874,recovery_enter,ClearGlobalCostmap-Context,0.579282
2733.083475874,recovery_exit,ClearGlobalCostmap-Context,0.579282
2733.133475877,recovery_enter,ClearLocalCostmap-Context,0.578737
2733.133475877,recovery_exit,ClearLocalCostmap-Context,0.578737
2733.150142544,recovery_enter,Spin,0.578737
2734.250142602,recovery_exit,Spin,0.573704
2734.250142602,recovery_enter,Wait,0.573704
2739.316809533,recovery_exit,Wait,0.553582
2739.316809533,recovery,exit,0.553582
2754.883477011,waypoint,4,0.480291
2782.883478472,waypoint,5,0.343312
2809.450146524,waypoint,6,0.213598
2809.450146524,dock,patrol_done,0.213598
2839.516814759,waypoint,0,0.066699
2839.516814759,run_ended,15,0.066699
