sim_time,event,value,soc
757.700039517,run_started,5,0.999609
766.650039983,recovery,enter,0.956780
766.650039983,recovery_enter,ClearGlobalCostmap-Context,0.956780
766.650039983,recovery_exit,ClearGlobalCostmap-Context,0.956780
766.650039983,recovery_enter,ClearLocalCostmap-Context,0.956780
766.650039983,recovery_exit,ClearLocalCostmap-Context,0.956780
766.683373318,recovery_enter,Spin,0.956780
768.933373436,recovery_exit,Spin,0.945952
768.933373436,recovery,exit,0.945952
788.866707809,waypoint,1,0.851212
813.033375736,waypoint,2,0.735451
836.500043626,waypoint,3,0.621557
862.183378299,waypoint,4,0.495882
890.016713084,waypoint,5,0.359159
916.500047799,waypoint,6,0.229708
916.500047799,dock,patrol_done,0.229708
946.750049376,waypoint,0,0.082381
946.750049376,run_ended,5,0.082381
