sim_time,event,value,soc
570.500029753,run_started,4,0.999609
599.366697926,waypoint,1,0.862869
623.366699177,waypoint,2,0.747892
646.866700403,waypoint,3,0.634001
657.500034291,recovery,enter,0.578535
657.500034291,recovery_enter,ClearGlobalCostmap-Context,0.578535
657.500034291,recovery_exit,ClearGlobalCostmap-Context,0.578535
657.550034293,recovery_enter,ClearLocalCostmap-Context,0.578535
657.550034293,recovery_exit,ClearLocalCostmap-Context,0.578535
657.566700961,recovery_enter,ClearLocalCostmap-Subtree,0.578535
657.566700961,recovery_exit,ClearLocalCostmap-Subtree,0.578535
657.566700961,recovery_enter,ClearGlobalCostmap-Subtree,0.578535
657.566700961,recovery_exit,ClearGlobalCostmap-Subtree,0.578535
657.666700966,recovery_enter,ClearGlobalCostmap-Context,0.578011
657.666700966,recovery_exit,ClearGlobalCostmap-Context,0.578011
657.666700966,recovery,exit,0.578011
673.100035104,waypoint,4,0.505767
700.933369889,waypoint,5,0.369460
727.216704593,waypoint,6,0.240995
727.216704593,dock,patrol_done,0.240995
757.666706182,waypoint,0,0.092920
757.666706182,run_ended,4,0.092920
