sim_time,event,value,soc
0.100000005,run_started,1,0.999609
31.216668294,waypoint,1,0.853700
55.350002886,waypoint,2,0.738413
79.233337465,waypoint,3,0.622973
108.616672331,recovery,enter,0.481212
108.616672331,recovery_enter,ClearLocalCostmap-Context,0.481212
108.616672331,recovery_exit,ClearLocalCostmap-Context,0.481212
109.400005705,waypoint,4,0.478046
108.616672331,recovery,exit,0.481212
137.183340488,waypoint,5,0.342199
163.600008532,waypoint,6,0.212954
163.600008532,dock,patrol_done,0.212954
193.750010104,waypoint,0,0.066196
193.750010104,run_ended,1,0.066196
