sim_time,event,value,soc
2449.900127772,run_started,14,0.999609
2478.466795928,waypoint,1,0.864119
2502.433463845,waypoint,2,0.749215
2525.800131730,waypoint,3,0.635724
2551.200133055,waypoint,4,0.510868
2579.100134510,waypoint,5,0.374096
2589.916801741,recovery,enter,0.316998
2589.916801741,recovery_enter,ClearGlobalCostmap-Context,0.316998
2589.916801741,recovery_exit,ClearGlobalCostmap-Context,0.316998
2589.950135076,recovery_enter,ClearLocalCostmap-Context,0.316998
2589.950135076,recovery_exit,ClearLocalCostmap-Context,0.316998
2589.966801743,recovery_enter,BackUp,0.316998
2600.000135600,recovery_exit,BackUp,0.276607
2600.000135600,recovery_enter,ClearLocalCostmap-Subtree,0.276607
2600.000135600,recovery_exit,ClearLocalCostmap-Subtree,0.276607
2600.000135600,recovery_enter,ClearGlobalCostmap-Subtree,0.276607
2600.000135600,recovery_exit,ClearGlobalCostmap-Subtree,0.276607
2600.000135600,recovery,exit,0.276607
2616.233469780,waypoint,6,0.202130
2616.233469780,dock,patrol_done,0.202130
2646.066804669,waypoint,0,0.056448
2646.066804669,run_ended,14,0.056448
