sim_time,event,value,soc
381.500019896,run_started,3,0.999670
412.266688168,waypoint,1,0.877881
412.416688175,tag,1,0.877209
436.416689427,waypoint,2,0.780318
436.516689432,tag,2,0.779985
460.416690679,waypoint,3,0.682620
460.466690681,tag,3,0.682620
486.450025370,waypoint,4,0.575335
486.483358705,tag,4,0.575335
514.350026825,waypoint,5,0.459698
514.433360163,tag,5,0.459367
541.283361563,waypoint,6,0.349261
541.283361563,dock,patrol_done,0.349261
541.350028233,tag,6,0.348929
571.383363133,waypoint,0,0.225369
571.383363133,run_ended,3,0.225369
