sim_time,event,value,soc
1898.300099004,run_started,11,0.999670
1927.583433864,waypoint,1,0.883038
1927.616767199,tag,1,0.882704
1951.516768446,waypoint,2,0.786099
1951.533435113,tag,2,0.786099
1975.100103009,waypoint,3,0.689669
1975.116769677,tag,3,0.689669
1985.733436897,recovery,enter,0.643306
1985.733436897,recovery_enter,ClearGlobalCostmap-Context,0.643306
1985.733436897,recovery_exit,ClearGlobalCostmap-Context,0.643306
1985.766770232,recovery_enter,ClearLocalCostmap-Context,0.643306
1985.766770232,recovery_exit,ClearLocalCostmap-Context,0.643306
1985.783436900,recovery_enter,Spin,0.643306
1987.000103630,recovery_exit,Spin,0.638312
1987.000103630,recovery_enter,Wait,0.638312
1992.100103896,recovery_exit,Wait,0.621366
1992.100103896,recovery,exit,0.621366
2007.866771385,waypoint,4,0.558898
2007.950104722,tag,4,0.558567
2035.683439502,waypoint,5,0.443900
2035.716772837,tag,5,0.443568
2061.683440858,waypoint,6,0.336469
2061.683440858,dock,patrol_done,0.336469
2061.766774196,tag,6,0.336136
2092.116775779,waypoint,0,0.211201
2092.116775779,run_ended,11,0.211201
