sim_time,event,value,soc
6087.300317477,run_started,33,0.999669
6116.700319010,waypoint,1,0.882349
6116.883652353,tag,1,0.882017
6140.966986943,waypoint,2,0.784691
6141.016986945,tag,2,0.784358
6164.566988173,waypoint,3,0.688285
6164.900321524,tag,3,0.686825
6191.150322893,waypoint,4,0.579101
6191.366989571,tag,4,0.578421
6219.050324348,waypoint,5,0.463531
6219.066991016,tag,5,0.463531
6245.283659050,waypoint,6,0.355478
6245.283659050,dock,patrol_done,0.355478
6245.500325728,tag,6,0.354449
6275.066993936,waypoint,0,0.232603
6275.066993936,run_ended,33,0.232603
