sim_time,event,value,soc
0.100000005,run_started,1,0.999670
29.350001530,waypoint,1,0.882895
29.516668206,tag,1,0.882221
53.433336120,waypoint,2,0.785565
53.466669455,tag,2,0.785565
76.950004013,waypoint,3,0.689513
77.066670686,tag,3,0.689183
87.783337911,recovery,enter,0.642258
87.783337911,recovery_enter,ClearGlobalCostmap-Context,0.642258
87.783337911,recovery_exit,ClearGlobalCostmap-Context,0.642258
87.833337914,recovery_enter,ClearLocalCostmap-Context,0.641798
87.833337914,recovery_exit,ClearLocalCostmap-Context,0.641798
87.883337916,recovery_enter,ClearLocalCostmap-Subtree,0.641798
87.883337916,recovery_exit,ClearLocalCostmap-Subtree,0.641798
87.883337916,recovery_enter,ClearGlobalCostmap-Subtree,0.641798
87.883337916,recovery_exit,ClearGlobalCostmap-Subtree,0.641798
87.883337916,recovery,exit,0.641798
103.250005384,waypoint,4,0.581193
103.483338730,tag,4,0.580519
131.216673510,waypoint,5,0.465313
131.233340177,tag,5,0.465313
157.866674900,waypoint,6,0.355852
157.866674900,dock,patrol_done,0.355852
157.916674902,tag,6,0.355521
187.983343137,waypoint,0,0.231961
187.983343137,run_ended,1,0.231961
