sim_time,event,value,soc
1309.200068280,run_started,8,0.999604
1337.183403072,waypoint,1,0.866451
1337.216736407,tag,1,0.866054
1360.683404298,waypoint,2,0.753613
1361.000070981,tag,2,0.752017
1383.450072152,waypoint,3,0.642525
1412.950073691,recovery,enter,0.500224
1412.950073691,recovery_enter,ClearLocalCostmap-Context,0.500224
1412.950073691,recovery_exit,ClearLocalCostmap-Context,0.500224
1412.950073691,recovery,exit,0.500224
1414.316740429,waypoint,4,0.494680
1414.916740460,tag,4,0.492100
1441.533408515,waypoint,5,0.360994
1442.133408546,tag,5,0.358309
1468.733409933,waypoint,6,0.228714
1468.733409933,dock,patrol_done,0.228714
1498.283411474,waypoint,0,0.084197
1498.283411474,run_ended,8,0.084197
