sim_time,event,value,soc
186.000009700,run_started,2,0.999609
215.116677885,waypoint,1,0.861825
215.116677885,tag,1,0.861825
239.200012475,waypoint,2,0.746492
239.600012496,tag,2,0.744772
262.566680360,waypoint,3,0.633467
273.416680926,recovery,enter,0.576968
273.416680926,recovery_enter,ClearGlobalCostmap-Context,0.576968
273.416680926,recovery_exit,ClearGlobalCostmap-Context,0.576968
273.450014261,recovery_enter,ClearLocalCostmap-Context,0.576968
273.450014261,recovery_exit,ClearLocalCostmap-Context,0.576968
273.483347596,recovery_enter,ClearLocalCostmap-Subtree,0.576968
273.483347596,recovery_exit,ClearLocalCostmap-Subtree,0.576968
273.483347596,recovery_enter,ClearGlobalCostmap-Subtree,0.576968
273.483347596,recovery_exit,ClearGlobalCostmap-Subtree,0.576968
273.483347596,recovery,exit,0.576968
288.466681711,waypoint,4,0.506699
316.666683182,waypoint,5,0.368986
342.933351218,waypoint,6,0.240544
342.933351218,dock,patrol_done,0.240544
373.983352838,waypoint,0,0.090148
373.983352838,run_ended,2,0.090148
