sim_time,event,value,soc
2458.600128225,run_started,14,0.999609
2487.400129728,waypoint,1,0.863033
2487.450129730,tag,1,0.863033
2511.516797652,waypoint,2,0.747624
2511.566797655,tag,2,0.747624
2535.333465561,waypoint,3,0.632581
2535.350132228,tag,3,0.632581
2561.016800234,waypoint,4,0.506544
2561.150133574,tag,4,0.506153
2588.466801665,waypoint,5,0.372119
2588.550135003,tag,5,0.371723
2614.733469702,waypoint,6,0.243680
2614.733469702,dock,patrol_done,0.243680
2614.866803042,tag,6,0.243289
2644.716804599,waypoint,0,0.097191
2644.716804599,run_ended,14,0.097191
