sim_time,event,value,soc
187.400009773,run_started,2,0.999609
216.416677953,waypoint,1,0.862116
216.483344623,tag,1,0.862116
240.433345872,waypoint,2,0.747124
240.533345878,tag,2,0.746733
264.016680436,waypoint,3,0.632904
264.033347103,tag,3,0.632904
292.733348600,waypoint,4,0.494648
292.766681935,tag,4,0.494648
321.000016741,waypoint,5,0.356165
321.166683416,tag,5,0.355762
347.050018100,waypoint,6,0.228967
347.050018100,dock,patrol_done,0.228967
347.166684772,tag,6,0.228576
377.250019675,waypoint,0,0.081785
377.250019675,run_ended,2,0.081785
