sim_time,event,value,soc
2647.900138098,run_started,15,0.999609
2678.333473019,waypoint,1,0.856584
2678.366806354,tag,1,0.856584
2702.583474284,waypoint,2,0.740825
2702.666807621,tag,2,0.740429
2726.683475540,waypoint,3,0.624512
2726.733475543,tag,3,0.624121
2752.683476896,waypoint,4,0.497341
2752.733476899,tag,4,0.496945
2780.733478359,waypoint,5,0.359685
2780.816811697,tag,5,0.359288
2807.000146396,waypoint,6,0.231164
2807.016813063,dock,patrol_done,0.231164
2807.250146409,tag,6,0.230345
2837.033481296,waypoint,0,0.084748
2837.033481296,run_ended,15,0.084748
