sim_time,event,value,soc
2271.800118483,run_started,13,0.999609
2300.966786671,waypoint,1,0.861775
2300.966786671,tag,1,0.861775
2325.200121268,waypoint,2,0.745616
2325.416787946,tag,2,0.744798
2348.833455834,waypoint,3,0.631390
2348.883455837,tag,3,0.631390
2375.183457208,waypoint,4,0.502969
2375.216790543,tag,4,0.502576
2402.983458658,waypoint,5,0.366829
2403.200125336,tag,5,0.365547
2429.550126710,waypoint,6,0.237221
2429.550126710,dock,patrol_done,0.237221
2429.583460045,tag,6,0.237221
2459.400128267,waypoint,0,0.091193
2459.400128267,run_ended,13,0.091193
