sim_time,event,value,soc
568.400029644,run_started,4,0.999609
597.500031162,waypoint,1,0.861689
597.616697834,tag,1,0.861287
621.750032426,waypoint,2,0.746019
621.866699099,tag,2,0.745627
645.250033652,waypoint,3,0.632128
645.400033660,tag,3,0.631297
671.000034995,waypoint,4,0.505603
671.133368335,tag,4,0.505201
699.016703123,waypoint,5,0.368377
699.116703128,tag,5,0.367986
709.250036990,recovery,enter,0.314572
709.250036990,recovery_enter,ClearGlobalCostmap-Context,0.314572
709.250036990,recovery_exit,ClearGlobalCostmap-Context,0.314572
709.283370325,recovery_enter,ClearLocalCostmap-Context,0.314572
709.283370325,recovery_exit,ClearLocalCostmap-Context,0.314572
709.316703660,recovery_enter,Spin,0.314067
711.533370442,recovery_exit,Spin,0.303861
711.533370442,recovery,exit,0.303861
729.016704687,waypoint,6,0.222139
729.016704687,dock,patrol_done,0.222139
729.116704693,tag,6,0.221744
759.216706262,waypoint,0,0.074992
759.216706262,run_ended,4,0.074992
