sim_time,event,value,soc
0.100000005,run_started,1,0.999609
31.800001658,waypoint,1,0.851404
31.950001666,tag,1,0.851007
56.166669595,waypoint,2,0.735190
56.283336268,tag,2,0.734797
80.033337507,waypoint,3,0.619694
80.200004182,tag,3,0.618849
90.866671405,recovery,enter,0.563546
90.866671405,recovery_enter,ClearGlobalCostmap-Context,0.563546
90.866671405,recovery_exit,ClearGlobalCostmap-Context,0.563546
90.900004740,recovery_enter,ClearLocalCostmap-Context,0.563009
90.900004740,recovery_exit,ClearLocalCostmap-Context,0.563009
90.933338075,recovery_enter,ClearLocalCostmap-Subtree,0.563009
90.933338075,recovery_exit,ClearLocalCostmap-Subtree,0.563009
90.933338075,recovery_enter,ClearGlobalCostmap-Subtree,0.563009
90.933338075,recovery_exit,ClearGlobalCostmap-Subtree,0.563009
90.933338075,recovery,exit,0.563009
106.016672195,waypoint,4,0.492407
106.333338879,tag,4,0.491130
133.833340313,waypoint,5,0.355970
134.016673656,tag,5,0.355148
160.483341703,waypoint,6,0.226204
160.483341703,dock,patrol_done,0.226204
160.583341708,tag,6,0.225811
190.700009945,waypoint,0,0.078411
190.700009945,run_ended,1,0.078411
