sim_time,event,value,soc
190.800009950,run_started,2,0.999609
219.783344795,waypoint,1,0.862641
219.816678130,tag,1,0.862248
244.416679413,waypoint,2,0.744886
244.483346084,tag,2,0.744886
267.783347299,waypoint,3,0.631866
268.000013977,tag,3,0.630587
293.600015312,waypoint,4,0.505037
293.683348650,tag,4,0.505037
321.733350113,waypoint,5,0.367372
321.766683448,tag,5,0.367372
348.483351508,waypoint,6,0.237191
348.483351508,dock,patrol_done,0.237191
348.516684843,tag,6,0.236798
378.916686428,waypoint,0,0.088874
378.916686428,run_ended,2,0.088874
