sim_time,event,value,soc
564.900029461,run_started,4,0.999607
593.916697641,waypoint,1,0.862196
593.933364309,tag,1,0.862196
617.900032225,waypoint,2,0.747274
617.933365561,tag,2,0.747274
641.516700124,waypoint,3,0.632993
641.583366794,tag,3,0.632993
667.616701485,waypoint,4,0.505463
667.650034820,tag,4,0.505463
695.150036254,waypoint,5,0.370119
695.200036257,tag,5,0.369726
724.966704476,waypoint,6,0.227527
724.966704476,dock,patrol_done,0.227527
725.033371146,tag,6,0.227130
755.783372750,waypoint,0,0.077837
755.783372750,run_ended,4,0.077837
