sim_time,event,value,soc
1936.100100975,run_started,11,0.999670
1965.650102516,waypoint,1,0.882076
1965.833435859,tag,1,0.881401
1989.816770443,waypoint,2,0.784385
1989.816770443,tag,2,0.784385
2013.216771664,waypoint,3,0.688639
2013.316771669,tag,3,0.688309
2039.183439685,waypoint,4,0.581771
2039.250106355,tag,4,0.581436
2067.266774483,waypoint,5,0.465684
2067.266774483,tag,5,0.465684
2093.550109187,waypoint,6,0.357243
2093.550109187,dock,patrol_done,0.357243
2093.616775857,tag,6,0.356913
2124.016777442,waypoint,0,0.232036
2124.016777442,run_ended,11,0.232036
