sim_time,event,value,soc
4020.000209659,run_started,22,0.999670
4048.933544501,waypoint,1,0.884020
4048.983544504,tag,1,0.884020
4072.933545753,waypoint,2,0.787094
4073.166879098,tag,2,0.786416
4096.333546973,waypoint,3,0.691346
4096.416880311,tag,3,0.691016
4122.216881657,waypoint,4,0.584326
4122.266881659,tag,4,0.584326
4150.133549779,waypoint,5,0.468944
4150.200216449,tag,5,0.468614
4176.683551164,waypoint,6,0.359946
4176.683551164,dock,patrol_done,0.359946
4176.850217839,tag,6,0.359273
4206.866886071,waypoint,0,0.235699
4206.866886071,run_ended,22,0.235699
