sim_time,event,value,soc
753.800039313,run_started,5,0.999608
783.316707519,waypoint,1,0.860047
783.400040857,tag,1,0.859650
807.566708784,waypoint,2,0.744232
807.700042124,tag,2,0.743431
831.400043360,waypoint,3,0.628745
831.433376695,tag,3,0.628745
857.783378070,waypoint,4,0.499962
885.566712852,waypoint,5,0.363576
885.666712857,tag,5,0.363179
892.816713230,recovery,enter,0.324494
892.816713230,recovery_enter,ClearGlobalCostmap-Context,0.324494
892.816713230,recovery_exit,ClearGlobalCostmap-Context,0.324494
892.833379898,recovery_enter,ClearLocalCostmap-Context,0.324494
892.833379898,recovery_exit,ClearLocalCostmap-Context,0.324494
892.866713233,recovery_enter,Spin,0.324494
894.116713298,recovery_exit,Spin,0.318582
894.116713298,recovery_enter,Wait,0.318582
899.183380229,recovery_exit,Wait,0.298883
899.183380229,recovery,exit,0.298883
918.483381235,waypoint,6,0.207750
918.483381235,dock,patrol_done,0.207750
948.666716143,waypoint,0,0.060455
948.666716143,run_ended,5,0.060455
