sim_time,event,value,soc
566.100029524,run_started,4,0.999608
595.350031049,waypoint,1,0.861348
595.366697717,tag,1,0.861348
619.650032317,waypoint,2,0.745139
619.733365654,tag,2,0.744744
643.733366906,waypoint,3,0.628881
643.750033574,tag,3,0.628881
669.716701595,waypoint,4,0.501650
678.416702048,recovery,enter,0.457119
678.416702048,recovery_enter,ClearGlobalCostmap-Context,0.457119
678.416702048,recovery_exit,ClearGlobalCostmap-Context,0.457119
678.450035383,recovery_enter,ClearLocalCostmap-Context,0.457119
678.450035383,recovery_exit,ClearLocalCostmap-Context,0.457119
678.466702051,recovery_enter,ClearLocalCostmap-Subtree,0.457119
678.466702051,recovery_exit,ClearLocalCostmap-Subtree,0.457119
678.466702051,recovery_enter,ClearGlobalCostmap-Subtree,0.457119
678.466702051,recovery_exit,ClearGlobalCostmap-Subtree,0.457119
678.466702051,recovery,exit,0.457119
697.500036377,waypoint,5,0.365643
697.533369712,tag,5,0.365643
723.883371086,waypoint,6,0.237171
723.883371086,dock,patrol_done,0.237171
753.783372646,waypoint,0,0.091080
753.783372646,run_ended,4,0.091080
