sim_time,event,value,soc
1324.900069098,run_started,8,0.999609
1353.916737278,waypoint,1,0.862174
1353.933403946,tag,1,0.862174
1378.600071899,waypoint,2,0.744301
1378.600071899,tag,2,0.744301
1402.983406504,waypoint,3,0.627187
1403.000073172,tag,3,0.626795
1428.933407858,waypoint,4,0.499518
1457.166742663,waypoint,5,0.361792
1457.200075998,tag,5,0.361401
1484.233410742,waypoint,6,0.230107
1484.233410742,dock,patrol_done,0.230107
1514.300078976,waypoint,0,0.083229
1514.300078976,run_ended,8,0.083229
