sim_time,event,value,soc
1709.700089167,run_started,10,0.999609
1739.516757389,waypoint,1,0.859030
1739.566757392,tag,1,0.859030
1764.783425373,waypoint,2,0.739111
1764.816758709,tag,2,0.738715
1789.133426643,waypoint,3,0.621647
1789.133426643,tag,3,0.621647
1815.016761327,waypoint,4,0.494818
1842.766762774,waypoint,5,0.358710
1842.966762784,tag,5,0.357907
1869.016764143,waypoint,6,0.230271
1869.016764143,dock,patrol_done,0.230271
1899.550099069,waypoint,0,0.081765
1899.550099069,run_ended,10,0.081765
