sim_time,event,value,soc
2086.700108829,run_started,12,0.999609
2115.416776994,waypoint,1,0.863393
2115.483443664,tag,1,0.863393
2139.066778227,waypoint,2,0.750065
2139.150111565,tag,2,0.749669
2162.150112764,waypoint,3,0.637886
2162.216779435,tag,3,0.637489
2188.216780791,waypoint,4,0.510379
2215.100115526,waypoint,5,0.378017
2215.133448861,tag,5,0.378017
2241.833450254,waypoint,6,0.247600
2241.833450254,dock,patrol_done,0.247600
2272.166785169,waypoint,0,0.099967
2272.166785169,run_ended,12,0.099967
