sim_time,event,value,soc
1136.000059247,run_started,7,0.999609
1165.700060795,waypoint,1,0.859311
1165.766727466,tag,1,0.859311
1189.916728725,waypoint,2,0.743625
1189.916728725,tag,2,0.743625
1213.716729966,waypoint,3,0.628507
1213.733396634,tag,3,0.628507
1239.666731320,waypoint,4,0.501796
1267.900066126,waypoint,5,0.363261
1267.950066128,tag,5,0.363261
1294.350067505,waypoint,6,0.234430
1294.366734173,dock,patrol_done,0.234430
1324.850069096,waypoint,0,0.086040
1324.866735763,run_ended,7,0.086040
