sim_time,event,value,soc
948.700049478,run_started,6,0.999604
977.800050996,waypoint,1,0.861828
977.800050996,tag,1,0.861828
1002.000052258,waypoint,2,0.746022
1002.083385596,tag,2,0.746022
1026.100053515,waypoint,3,0.629778
1026.150053517,tag,3,0.629778
1051.850054858,waypoint,4,0.503765
1079.516722967,waypoint,5,0.367959
1079.533389635,tag,5,0.367959
1105.933391012,waypoint,6,0.239072
1105.933391012,dock,patrol_done,0.239072
1135.966725911,waypoint,0,0.092694
1135.966725911,run_ended,6,0.092694
