sim_time,event,value,soc
1514.400078982,run_started,9,0.999609
1544.016747193,waypoint,1,0.859863
1544.083413863,tag,1,0.859863
1568.633415143,waypoint,2,0.742292
1568.666748479,tag,2,0.742292
1593.916749795,waypoint,3,0.621060
1593.983416466,tag,3,0.621060
1604.766750361,recovery,enter,0.564950
1604.766750361,recovery_enter,ClearGlobalCostmap-Context,0.564950
1604.766750361,recovery_exit,ClearGlobalCostmap-Context,0.564950
1604.800083696,recovery_enter,ClearLocalCostmap-Context,0.564405
1604.800083696,recovery_exit,ClearLocalCostmap-Context,0.564405
1604.816750364,recovery_enter,BackUp,0.564405
1614.866750888,recovery_exit,BackUp,0.524427
1614.866750888,recovery_enter,ClearLocalCostmap-Subtree,0.524427
1614.866750888,recovery_exit,ClearLocalCostmap-Subtree,0.524427
1614.866750888,recovery_enter,ClearGlobalCostmap-Subtree,0.524427
1614.866750888,recovery_exit,ClearGlobalCostmap-Subtree,0.524427
1615.116750901,recovery_enter,ClearGlobalCostmap-Context,0.523252
1615.116750901,recovery_exit,ClearGlobalCostmap-Context,0.523252
1615.116750901,recovery,exit,0.523252
1634.133418560,recovery,enter,0.435043
1634.133418560,recovery_enter,ClearLocalCostmap-Context,0.435043
1634.133418560,recovery_exit,ClearLocalCostmap-Context,0.435043
1634.133418560,recovery,exit,0.435043
1639.800085522,waypoint,4,0.411391
1668.333420343,waypoint,5,0.272043
1668.366753678,tag,5,0.272043
1682.100087728,dock,low_soc,0.199654
1709.650089165,waypoint,0,0.066431
1709.650089165,run_ended,9,0.066431
