sim_time,event,value,soc
1899.600099071,run_started,11,0.999609
1928.750100592,waypoint,1,0.861801
1928.816767262,tag,1,0.861409
1952.950101854,waypoint,2,0.746025
1952.950101854,tag,2,0.746025
1976.533436417,waypoint,3,0.631766
1976.550103085,tag,3,0.631766
2002.566771108,waypoint,4,0.504522
2030.350105891,waypoint,5,0.368157
2030.383439226,tag,5,0.368157
2056.666773930,waypoint,6,0.239701
2056.666773930,dock,patrol_done,0.239701
2086.600108824,waypoint,0,0.093257
2086.600108824,run_ended,11,0.093257
