sim_time,event,value,soc
187.200009763,run_started,2,0.999609
216.366677951,waypoint,1,0.861653
216.583344629,tag,1,0.860856
240.550012545,waypoint,2,0.745959
240.633345883,tag,2,0.745567
264.033347103,waypoint,3,0.632141
264.066680438,tag,3,0.632141
290.200015135,waypoint,4,0.504082
290.266681805,tag,4,0.504082
318.100016590,waypoint,5,0.367452
318.133349925,tag,5,0.367452
325.533350311,recovery,enter,0.327787
325.533350311,recovery_enter,ClearGlobalCostmap-Context,0.327787
325.533350311,recovery_exit,ClearGlobalCostmap-Context,0.327787
325.583350313,recovery_enter,ClearLocalCostmap-Context,0.327787
325.583350313,recovery_exit,ClearLocalCostmap-Context,0.327787
325.600016981,recovery_enter,ClearLocalCostmap-Subtree,0.327278
325.600016981,recovery_exit,ClearLocalCostmap-Subtree,0.327278
325.600016981,recovery_enter,ClearGlobalCostmap-Subtree,0.327278
325.600016981,recovery_exit,ClearGlobalCostmap-Subtree,0.327278
325.600016981,recovery,exit,0.327278
344.966684658,waypoint,6,0.237017
344.966684658,dock,patrol_done,0.237017
344.983351325,tag,6,0.237017
374.916686220,waypoint,0,0.090524
374.916686220,run_ended,2,0.090524
