sim_time,event,value,soc
1899.900099087,run_started,11,0.999609
1929.033433940,waypoint,1,0.861866
1929.033433940,tag,1,0.861866
1953.066768527,waypoint,2,0.746942
1953.116768529,tag,2,0.746546
1976.916769770,waypoint,3,0.631447
1976.916769770,tag,3,0.631447
2002.883437791,waypoint,4,0.504721
2002.900104459,tag,4,0.504325
2030.733439244,waypoint,5,0.367886
2030.766772579,tag,5,0.367886
2057.116773953,waypoint,6,0.239085
2057.116773953,dock,patrol_done,0.239085
2057.216773958,tag,6,0.238694
2087.550108874,waypoint,0,0.091053
2087.550108874,run_ended,11,0.091053
