sim_time,event,value,soc
2669.700139235,run_started,15,0.999670
2698.866807423,waypoint,1,0.883384
2698.900140758,tag,1,0.883050
2723.083475353,waypoint,2,0.785695
2723.166808690,tag,2,0.785361
2746.600143246,waypoint,3,0.689312
2746.716809919,tag,3,0.688971
2772.550144599,waypoint,4,0.582336
2772.633477937,tag,4,0.582006
2800.250146044,waypoint,5,0.467809
2800.283479379,tag,5,0.467809
2826.700147423,waypoint,6,0.358609
2826.700147423,dock,patrol_done,0.358609
2826.733480758,tag,6,0.358609
2847.700148519,recovery,enter,0.266801
2847.700148519,recovery_enter,ClearGlobalCostmap-Context,0.266801
2847.700148519,recovery_exit,ClearGlobalCostmap-Context,0.266801
2847.733481854,recovery_enter,ClearLocalCostmap-Context,0.266801
2847.733481854,recovery_exit,ClearLocalCostmap-Context,0.266801
2847.750148521,recovery_enter,Spin,0.266801
2849.950148636,recovery_exit,Spin,0.258122
2849.950148636,recovery,exit,0.258122
2890.700150761,waypoint,0,0.088387
2890.700150761,run_ended,15,0.088387
