sim_time,event,value,soc
4394.100229170,run_started,24,0.999670
4423.283564025,waypoint,1,0.883369
4423.366897363,tag,1,0.883035
4447.583565292,waypoint,2,0.785335
4447.600231960,tag,2,0.785001
4471.083566518,waypoint,3,0.689150
4471.233566526,tag,3,0.688470
4496.766901191,waypoint,4,0.582825
4496.816901193,tag,4,0.582494
4524.883569324,waypoint,5,0.466895
4525.016902664,tag,5,0.466215
4551.433570709,waypoint,6,0.357386
4551.433570709,dock,patrol_done,0.357386
4551.466904044,tag,6,0.357386
4581.400238938,waypoint,0,0.233793
4581.400238938,run_ended,24,0.233793
