sim_time,event,value,soc
2313.700120668,run_started,13,0.999670
2343.300122212,waypoint,1,0.881704
2343.366788882,tag,1,0.881704
2367.400123469,waypoint,2,0.784375
2367.450123472,tag,2,0.784375
2391.150124708,waypoint,3,0.687613
2391.316791383,tag,3,0.686924
2417.133459396,waypoint,4,0.580460
2417.483459414,tag,4,0.579414
2444.900127511,waypoint,5,0.465426
2445.016794184,tag,5,0.465080
2471.150128880,waypoint,6,0.357425
2471.150128880,dock,patrol_done,0.357425
2471.166795548,tag,6,0.357425
2503.000130541,waypoint,0,0.227537
2503.000130541,run_ended,13,0.227537
