sim_time,event,value,soc
6654.500347059,run_started,36,0.999670
6685.450348673,waypoint,1,0.877318
6685.517015343,tag,1,0.876988
6709.617016600,waypoint,2,0.779639
6709.750349940,tag,2,0.779306
6716.833683643,recovery,enter,0.747481
6716.833683643,recovery_enter,ClearGlobalCostmap-Context,0.747481
6716.833683643,recovery_exit,ClearGlobalCostmap-Context,0.747481
6716.867016978,recovery_enter,ClearLocalCostmap-Context,0.747481
6716.867016978,recovery_exit,ClearLocalCostmap-Context,0.747481
6716.883683646,recovery_enter,Spin,0.747481
6719.133683763,recovery_exit,Spin,0.738357
6719.133683763,recovery,exit,0.738357
6735.733684629,waypoint,3,0.672594
6735.817017966,tag,3,0.672264
6762.067019335,waypoint,4,0.564378
6762.100352670,tag,4,0.564047
6790.133687466,waypoint,5,0.448173
6790.150354133,tag,5,0.448173
6800.383688000,recovery,enter,0.402593
6800.383688000,recovery_enter,ClearGlobalCostmap-Context,0.402593
6800.383688000,recovery_exit,ClearGlobalCostmap-Context,0.402593
6800.433688003,recovery_enter,ClearLocalCostmap-Context,0.402159
6800.433688003,recovery_exit,ClearLocalCostmap-Context,0.402159
6800.467021338,recovery_enter,Wait,0.402159
6805.500354934,recovery_exit,Wait,0.385099
6805.500354934,recovery,exit,0.385099
6821.650355776,waypoint,6,0.322511
6821.650355776,dock,patrol_done,0.322511
6821.700355779,tag,6,0.322181
6832.783689690,recovery,enter,0.274609
6832.783689690,recovery_enter,ClearGlobalCostmap-Context,0.274609
6832.783689690,recovery_exit,ClearGlobalCostmap-Context,0.274609
6832.833689693,recovery_enter,ClearLocalCostmap-Context,0.274170
6832.833689693,recovery_exit,ClearLocalCostmap-Context,0.274170
6832.833689693,recovery,exit,0.274170
6852.167024035,waypoint,0,0.197395
6852.167024035,run_ended,36,0.197395
