sim_time,event,value,soc
188.000009804,run_started,2,0.999666
217.783344691,waypoint,1,0.881290
217.850011361,tag,1,0.880956
241.833345945,waypoint,2,0.784022
241.883345948,tag,2,0.784022
265.666680522,waypoint,3,0.686835
265.700013857,tag,3,0.686835
295.016682052,recovery,enter,0.567072
295.016682052,recovery_enter,ClearLocalCostmap-Context,0.567072
295.016682052,recovery_exit,ClearLocalCostmap-Context,0.567072
295.016682052,recovery,exit,0.567072
296.183348780,waypoint,4,0.563400
296.233348783,tag,4,0.563066
323.866683557,waypoint,5,0.448700
323.916683560,tag,5,0.448369
350.950018303,waypoint,6,0.337702
350.950018303,dock,patrol_done,0.337702
350.950018303,tag,6,0.337702
381.400019891,waypoint,0,0.212441
381.400019891,run_ended,2,0.212441
