sim_time,event,value,soc
1709.800089173,run_started,10,0.999666
1739.083424033,waypoint,1,0.882966
1739.150090703,tag,1,0.882632
1763.366758633,waypoint,2,0.784994
1763.383425300,tag,2,0.784994
1787.216759877,waypoint,3,0.687540
1787.300093214,tag,3,0.687540
1813.283427903,waypoint,4,0.580426
1813.283427903,tag,4,0.580426
1841.383429368,waypoint,5,0.464248
1841.400096036,tag,5,0.463913
1867.816764080,waypoint,6,0.354900
1867.816764080,dock,patrol_done,0.354900
1867.833430748,tag,6,0.354900
1898.250099001,waypoint,0,0.229955
1898.250099001,run_ended,10,0.229955
