sim_time,event,value,soc
4758.800248190,run_started,26,0.999670
4788.533583074,waypoint,1,0.881356
4788.733583085,tag,1,0.880677
4812.583584329,waypoint,2,0.784386
4812.816917674,tag,2,0.783355
4836.200252227,waypoint,3,0.687557
4836.233585562,tag,3,0.687557
4862.450253596,waypoint,4,0.579704
4862.616920271,tag,4,0.579028
4890.266921713,waypoint,5,0.464667
4890.333588384,tag,5,0.464337
4896.166922021,recovery,enter,0.437944
4896.166922021,recovery_enter,ClearGlobalCostmap-Context,0.437944
4896.166922021,recovery_exit,ClearGlobalCostmap-Context,0.437944
4896.216922024,recovery_enter,ClearLocalCostmap-Context,0.437484
4896.216922024,recovery_exit,ClearLocalCostmap-Context,0.437484
4896.250255359,recovery_enter,Spin,0.437484
4898.433588806,recovery_exit,Spin,0.428828
4898.433588806,recovery,exit,0.428828
4919.433589901,waypoint,6,0.344226
4919.433589901,dock,patrol_done,0.344226
4919.483589904,tag,6,0.344226
4949.733591482,waypoint,0,0.219622
4949.733591482,run_ended,26,0.219622
