sim_time,event,value,soc
4707.900245536,run_started,26,0.999609
4737.200247064,waypoint,1,0.860837
4737.283580401,tag,1,0.860837
4761.233581651,waypoint,2,0.745970
4761.350248323,tag,2,0.745579
4784.716916209,waypoint,3,0.632190
4784.916916219,tag,3,0.631353
4810.683584230,waypoint,4,0.505394
4810.700250897,tag,4,0.504998
4838.716919025,waypoint,5,0.367930
4838.716919025,tag,5,0.367930
4864.916920391,waypoint,6,0.240043
4864.916920391,dock,patrol_done,0.240043
4864.983587061,tag,6,0.240043
4895.166921969,waypoint,0,0.092847
4895.166921969,run_ended,26,0.092847
