sim_time,event,value,soc
6600.000344216,run_started,36,0.999609
6629.150345737,waypoint,1,0.861791
6629.167012404,tag,1,0.861791
6653.833680357,waypoint,2,0.744048
6653.933680362,tag,2,0.743657
6677.467014923,waypoint,3,0.629736
6677.567014928,tag,3,0.629341
6703.383682942,waypoint,4,0.502892
6703.500349614,tag,4,0.502098
6731.483684407,waypoint,5,0.365538
6731.550351077,tag,5,0.365142
6758.700352493,waypoint,6,0.233050
6758.700352493,dock,patrol_done,0.233050
6758.767019163,tag,6,0.233050
6788.967020738,waypoint,0,0.085797
6788.967020738,run_ended,36,0.085797
