sim_time,event,value,soc
1135.200059205,run_started,7,0.999669
1149.616726623,tag,1,0.939813
1161.900060597,waypoint,1,0.893238
1172.916727839,tag,2,0.845649
1186.016728522,waypoint,2,0.795893
1198.133395820,tag,3,0.742493
1210.283396454,waypoint,3,0.697518
1229.766730803,tag,4,0.617028
1241.516731416,waypoint,4,0.572651
1252.783398671,tag,5,0.522890
1265.050065977,waypoint,5,0.476453
1274.633399810,recovery_enter,ClearGlobalCostmap-Context,0.434307
1274.633399810,recovery_exit,ClearGlobalCostmap-Context,0.434307
1274.650066478,recovery_enter,ClearLocalCostmap-Context,0.434307
1274.650066478,recovery_exit,ClearLocalCostmap-Context,0.434307
1274.700066480,recovery_enter,BackUp,0.433853
1284.716733669,recovery_exit,BackUp,0.400151
1284.716733669,recovery_enter,ClearLocalCostmap-Subtree,0.400151
1284.716733669,recovery_exit,ClearLocalCostmap-Subtree,0.400151
1284.716733669,recovery_enter,ClearGlobalCostmap-Subtree,0.400151
1284.716733669,recovery_exit,ClearGlobalCostmap-Subtree,0.400151
1318.050068741,tag,0,0.256088
1332.550069497,waypoint,0,0.200164
1332.550069497,run_ended,7,0.200164
