sim_time,event,value
779.250040641,tag,1,0.934893
792.000041306,waypoint,1,0.886061
802.833375204,tag,2,0.842578
816.183375900,waypoint,2,0.789172
827.516709825,tag,3,0.740247
839.516710450,waypoint,3,0.694994
