sim_time,event,value
215.250011226,tag,1,0.934590
227.616678537,waypoint,1,0.889454
238.583345776,tag,2,0.842155
252.033346477,waypoint,2,0.789245
263.883347095,tag,3,0.740597
278.016681166,recovery_enter,ClearLocalCostmap-Context,0.684207
278.016681166,recovery_exit,ClearLocalCostmap-Context,0.684207
281.116681328,waypoint,3,0.674177
295.383348738,tag,4,0.611927
307.283349359,waypoint,4,0.566935
319.033349972,tag,5,0.513760
330.600017242,waypoint,5,0.472627
369.000019244,tag,0,0.302920
384.666686728,recovery_enter,ClearLocalCostmap-Context,0.244814
384.666686728,recovery_exit,ClearLocalCostmap-Context,0.244814
394.100020553,waypoint,0,0.208677
