sim_time,event,value
593.983364311,tag,1,0.938579
606.650031639,waypoint,1,0.888924
617.666698880,tag,2,0.841648
630.716699561,waypoint,2,0.791875
641.633366797,tag,3,0.743274
654.350034127,waypoint,3,0.693777
668.600034870,tag,4,0.631524
680.566702160,waypoint,4,0.585817
692.683369459,tag,5,0.532537
704.133370056,waypoint,5,0.487633
740.066705264,tag,0,0.330473
755.933372758,recovery_enter,ClearLocalCostmap-Context,0.273165
755.933372758,recovery_exit,ClearLocalCostmap-Context,0.273165
763.350039811,waypoint,0,0.244734
