sim_time,event,value,soc
375.000019557,run_started,3,0.999604
404.583354433,waypoint,1,0.860084
404.616687769,tag,1,0.859688
428.683355690,waypoint,2,0.744696
428.716689025,tag,2,0.744300
452.266690254,waypoint,3,0.630435
452.366690259,tag,3,0.630043
462.850024139,recovery,enter,0.575669
462.850024139,recovery_enter,ClearGlobalCostmap-Context,0.575669
462.850024139,recovery_exit,ClearGlobalCostmap-Context,0.575669
462.866690807,recovery_enter,ClearLocalCostmap-Context,0.575669
462.866690807,recovery_exit,ClearLocalCostmap-Context,0.575669
462.900024142,recovery_enter,ClearLocalCostmap-Subtree,0.575124
462.900024142,recovery_exit,ClearLocalCostmap-Subtree,0.575124
462.900024142,recovery_enter,ClearGlobalCostmap-Subtree,0.575124
462.900024142,recovery_exit,ClearGlobalCostmap-Subtree,0.575124
462.900024142,recovery,exit,0.575124
478.383358282,waypoint,4,0.502853
478.416691618,tag,4,0.502456
506.050026392,waypoint,5,0.367069
506.083359727,tag,5,0.367069
532.700027782,waypoint,6,0.236939
532.700027782,dock,patrol_done,0.236939
532.716694450,tag,6,0.236939
562.933362692,waypoint,0,0.089799
562.933362692,run_ended,3,0.089799
