sim_time,event,value,soc
750.100039120,run_started,5,0.999609
780.050040682,waypoint,1,0.858476
780.066707350,tag,1,0.858476
804.183375274,waypoint,2,0.743082
804.183375274,tag,2,0.743082
828.316709866,waypoint,3,0.626253
828.350043201,tag,3,0.626253
854.116711212,waypoint,4,0.500047
854.166711214,tag,4,0.500047
882.133379340,waypoint,5,0.362464
882.133379340,tag,5,0.362464
908.583380719,waypoint,6,0.233525
908.583380719,dock,patrol_done,0.233525
908.616714054,tag,6,0.233129
938.433382276,waypoint,0,0.087460
938.433382276,run_ended,5,0.087460
