sim_time,event,value,soc
1130.200058944,run_started,7,0.999670
1159.733393818,waypoint,1,0.881930
1159.783393820,tag,1,0.881930
1184.450061773,waypoint,2,0.782632
1184.483395108,tag,2,0.782632
1208.283396350,waypoint,3,0.685557
1208.300063017,tag,3,0.685223
1234.916731072,waypoint,4,0.575887
1235.066731080,tag,4,0.575557
1262.916732532,waypoint,5,0.460086
1263.066732540,tag,5,0.459756
1268.766732838,recovery,enter,0.433846
1268.766732838,recovery_enter,ClearGlobalCostmap-Context,0.433846
1268.766732838,recovery_exit,ClearGlobalCostmap-Context,0.433846
1268.800066173,recovery_enter,ClearLocalCostmap-Context,0.433391
1268.800066173,recovery_exit,ClearLocalCostmap-Context,0.433391
1268.833399508,recovery_enter,ClearLocalCostmap-Subtree,0.433391
1268.833399508,recovery_exit,ClearLocalCostmap-Subtree,0.433391
1268.833399508,recovery_enter,ClearGlobalCostmap-Subtree,0.433391
1268.833399508,recovery_exit,ClearGlobalCostmap-Subtree,0.433391
1268.833399508,recovery,exit,0.433391
1289.666733928,waypoint,6,0.350030
1289.666733928,dock,patrol_done,0.350030
1289.866733938,tag,6,0.349353
1319.716735495,waypoint,0,0.226070
1319.716735495,run_ended,7,0.226070
