sim_time,event,value
19.066667661,tag,0
31.716668320,waypoint,0
32.783335043,recovery_enter,Spin
34.650001807,recovery_exit,Spin
34.966668490,recovery_enter,Wait
40.050002088,recovery_exit,Wait
40.200002096,recovery_enter,BackUp
46.450002422,recovery_exit,BackUp
47.750002490,recovery_enter,Spin
49.650002589,recovery_exit,Spin
59.433336433,tag,1
72.766670461,waypoint,2
84.016671048,tag,2
96.216671684,waypoint,3
110.283339085,tag,3
122.883339742,waypoint,4
129.333340078,recovery_enter,Wait
134.366673674,recovery_exit,Wait
139.933340631,tag,4
151.600007906,waypoint,5
189.600009888,tag,5
202.700010571,waypoint,6
