sim_time,event,value,soc
4311.600224867,run_started,24,0.999604
4339.583559660,waypoint,1,0.866541
4339.616892995,tag,1,0.866145
4363.550227576,waypoint,2,0.751572
4363.650227582,tag,2,0.751177
4386.716895451,waypoint,3,0.638913
4386.916895462,tag,3,0.638124
4412.750230142,waypoint,4,0.511647
4412.750230142,tag,4,0.511647
4440.033564899,waypoint,5,0.377388
4440.083564901,tag,5,0.377388
4466.066899590,waypoint,6,0.249614
4466.066899590,dock,patrol_done,0.249614
4466.333566270,tag,6,0.248410
4495.316901115,waypoint,0,0.105817
4495.316901115,run_ended,24,0.105817
