sim_time,event,value,soc
759.200039595,run_started,5,0.999604
789.633374515,waypoint,1,0.856554
789.783374523,tag,1,0.856163
813.766709107,waypoint,2,0.741271
813.966709118,tag,2,0.740469
837.433377008,waypoint,3,0.626655
837.600043684,tag,3,0.625832
863.550045037,waypoint,4,0.498611
863.633378375,tag,4,0.498219
872.350045496,recovery,enter,0.453568
872.350045496,recovery_enter,ClearGlobalCostmap-Context,0.453568
872.350045496,recovery_exit,ClearGlobalCostmap-Context,0.453568
872.383378831,recovery_enter,ClearLocalCostmap-Context,0.453568
872.383378831,recovery_exit,ClearLocalCostmap-Context,0.453568
872.416712166,recovery_enter,BackUp,0.453047
882.466712690,recovery_exit,BackUp,0.412983
882.466712690,recovery_enter,ClearLocalCostmap-Subtree,0.412983
882.466712690,recovery_exit,ClearLocalCostmap-Subtree,0.412983
882.466712690,recovery_enter,ClearGlobalCostmap-Subtree,0.412983
882.466712690,recovery_exit,ClearGlobalCostmap-Subtree,0.412983
882.466712690,recovery,exit,0.412983
902.150047050,waypoint,5,0.319177
902.166713718,tag,5,0.319177
926.100048299,dock,low_soc,0.199763
957.383383264,waypoint,0,0.048444
957.383383264,run_ended,5,0.048444
