sim_time,event,value,soc
4495.400234453,run_started,25,0.999604
4523.516902586,waypoint,1,0.865665
4523.533569253,tag,1,0.865665
4547.083570482,waypoint,2,0.752698
4547.216903822,tag,2,0.751906
4570.366905029,waypoint,3,0.639691
4570.550238372,tag,3,0.638900
4596.216906378,waypoint,4,0.512882
4596.250239713,tag,4,0.512882
4623.650241142,waypoint,5,0.378397
4623.650241142,tag,5,0.378397
4649.766909170,waypoint,6,0.250142
4649.766909170,dock,patrol_done,0.250142
4649.783575838,tag,6,0.250142
4679.016910696,waypoint,0,0.106408
4679.016910696,run_ended,25,0.106408
