sim_time,event,value,soc
751.400039188,run_started,5,0.999609
780.383374033,waypoint,1,0.862573
780.633374046,tag,1,0.861355
804.566708628,waypoint,2,0.746857
804.700041968,tag,2,0.746465
828.550043212,waypoint,3,0.630914
828.550043212,tag,3,0.630914
854.966711256,waypoint,4,0.502046
854.983377924,tag,4,0.502046
882.966712716,waypoint,5,0.365269
883.116712724,tag,5,0.364473
909.566714104,waypoint,6,0.235597
909.566714104,dock,patrol_done,0.235597
909.583380771,tag,6,0.235597
940.083382362,waypoint,0,0.087156
940.083382362,run_ended,5,0.087156
