sim_time,event,value,battery
16.583334198,tag,1,0.957723
29.433334868,waypoint,1,0.930453
40.366668771,tag,2,0.894261
53.600002795,waypoint,2,0.866589
65.316670073,tag,3,0.826896
77.183337358,waypoint,3,0.804209
91.500004772,tag,4,0.754452
103.216672049,waypoint,4,0.731666
114.533339306,tag,5,0.693922
127.100006628,waypoint,5,0.668750
165.683341974,tag,0,0.530404
179.583342699,waypoint,0,0.501402
