sim_time,event,value
195.433343525,tag,1,0.957737
207.900010842,waypoint,1,0.932301
218.866678081,tag,2,0.897606
232.283345447,waypoint,2,0.867773
243.650012707,tag,3,0.831108
255.950013348,waypoint,3,0.805826
