sim_time,event,value
196.333343572,tag,1,0.957331
208.550010876,waypoint,1,0.930280
219.100011426,tag,2,0.897116
232.766678806,waypoint,2,0.867000
236.983345692,tag,256,0.857117
243.683346042,tag,3,0.834160
256.750013390,waypoint,3,0.804613
270.933347463,tag,4,0.760855
283.166681434,waypoint,4,0.732734
295.316682068,tag,5,0.694941
306.716682663,waypoint,5,0.671302
346.116684718,tag,0,0.542455
359.933352105,waypoint,0,0.514331
