sim_time,event,value
751.916705882,tag,1,0.961287
765.183373240,waypoint,1,0.929047
775.750040458,tag,2,0.898594
789.316707832,waypoint,2,0.865863
801.233375120,tag,3,0.828755
812.783375723,waypoint,3,0.804901
827.100043136,tag,4,0.757891
838.750043744,waypoint,4,0.734169
