sim_time,event,value
376.200019620,tag,1,0.957025
388.750020274,waypoint,1,0.930090
399.683354178,tag,2,0.897356
413.066688209,waypoint,2,0.865576
425.200022175,tag,3,0.828234
436.633356105,waypoint,3,0.804624
450.933356851,tag,4,0.760490
462.516690788,waypoint,4,0.734035
474.800024762,tag,5,0.696907
486.383358700,waypoint,5,0.671129
524.966694045,tag,0,0.548177
538.950028108,waypoint,0,0.515239
