sim_time,event,value
544.833361748,tag,453,0.992902
555.050028948,tag,1,0.956760
567.433362927,waypoint,1,0.929912
578.350030163,tag,2,0.896643
591.816697532,waypoint,2,0.866696
603.000031448,tag,3,0.831068
615.916698789,waypoint,3,0.804346
626.766699355,recovery_enter,Spin,0.770826
628.000032752,recovery_exit,Spin,0.766007
628.000032752,recovery_enter,Wait,0.766007
633.050033016,recovery_exit,Wait,0.759307
637.233366567,tag,4,0.746719
654.350034127,waypoint,4,0.714069
665.933368064,tag,5,0.679926
677.933368690,waypoint,5,0.652624
714.250037251,tag,0,0.534012
736.166705060,waypoint,0,0.490838
