sim_time,event,value,battery
16.800000876,tag,1,0.958436
29.416668200,waypoint,1,0.928399
39.866668745,tag,2,0.898427
53.516669457,waypoint,2,0.865083
64.766670044,tag,3,0.831551
77.216670693,waypoint,3,0.802612
91.366671431,tag,4,0.757755
103.483338730,waypoint,4,0.731947
115.216672675,tag,5,0.695161
127.916673338,waypoint,5,0.669389
166.600008688,tag,0,0.544296
180.100009392,waypoint,0,0.512836
