sim_time,event,value
19.250001003,tag,0
31.166668292,waypoint,0
41.733335509,tag,1
55.650002902,waypoint,1
67.600003525,tag,2
79.366670805,waypoint,2
93.516671543,tag,3
105.466672167,waypoint,3
116.933339431,tag,4
129.000006727,waypoint,4
167.950008759,tag,5
179.750009374,waypoint,5
186.950009750,waypoint,6
