sim_time,event,value,soc
6047.900315422,run_started,33,0.999670
6076.333650238,waypoint,1,0.885723
6076.366983573,tag,1,0.885723
6099.950318137,waypoint,2,0.789973
6100.000318139,tag,2,0.789639
6123.200319349,waypoint,3,0.694657
6123.200319349,tag,3,0.694657
6149.083654033,waypoint,4,0.587931
6149.166987370,tag,4,0.587596
6177.216988833,waypoint,5,0.471634
6177.433655511,tag,5,0.470918
6203.733656883,waypoint,6,0.362519
6203.733656883,dock,patrol_done,0.362519
6203.900323558,tag,6,0.361837
6234.133658468,waypoint,0,0.237588
6234.133658468,run_ended,33,0.237588
