sim_time,event,value,soc
6234.200325138,run_started,34,0.999670
6262.916993303,waypoint,1,0.884720
6262.966993305,tag,1,0.884720
6286.333661191,waypoint,2,0.789621
6286.433661196,tag,2,0.789287
6309.433662395,waypoint,3,0.694950
6309.450329063,tag,3,0.694950
6335.383663749,waypoint,4,0.587774
6335.666997097,tag,4,0.586737
6363.133665196,waypoint,5,0.472785
6363.433665212,tag,5,0.471681
6389.466999903,waypoint,6,0.364463
6389.466999903,dock,patrol_done,0.364463
6389.666999913,tag,6,0.363790
6419.100334782,waypoint,0,0.241870
6419.100334782,run_ended,34,0.241870
